v0ait____a	avoir
v0ei_____a	être
v1____p_e_	acagnarder
v1____p_e_	accointer
v1____p_e_	accouder
v1____p_e_	acoquiner
v1____p_e_	adoniser
v1____p_e_	affairer
v1____p_e_	agenouiller
v1____p_e_	agriffer
v1____p_e_	aheurter
v1____p_e_	ambifier
v1____p_e_	amouracher
v1____p_e_	arroger
v1____p_e_	arsouiller
v1____p_e_	attarder
v1____p_e_	autocensurer
v1____p_e_	autodéterminer
v1____p_e_	autoféconder
v1____p_e_	autogouverner
v1____p_e_	autoguider
v1____p_e_	autoproclamer
v1____p_e_	autosuggestionner
v1____p_e_	autotomiser
v1____p_e_	bauger
v1____p_e_	bider
v1____p_e_	biler
v1____p_e_	biloter
v1____p_e_	bitturer
v1____p_e_	biturer
v1____p_e_	boyauter
v1____p_e_	calaminer
v1____p_e_	camer
v1____p_e_	cancériser
v1____p_e_	carapater
v1____p_e_	carnifier
v1____p_e_	chamailler
v1____p_e_	chicorer
v1____p_e_	chicorner
v1____p_e_	cocaliser
v1____p_e_	colletailler
v1____p_e_	contreficher
v1____p_e_	crasher
v1____p_e_	croutonner
v1____p_e_	croûtonner
v1____p_e_	cuiter
v1____p_e_	cuter
v1____p_e_	duveter
v1____p_e_	déballonner
v1____p_e_	débrailler
v1____p_e_	déconcubiner
v1____p_e_	dédifférencier
v1____p_e_	dégrouiller
v1____p_e_	déjuger
v1____p_e_	démaquer
v1____p_e_	démener
v1____p_e_	démerder
v1____p_e_	démouscailler
v1____p_e_	dénuer
v1____p_e_	dépagnoter
v1____p_e_	dépatouiller
v1____p_e_	dépoiler
v1____p_e_	désaffectionner
v1____p_e_	désendetter
v1____p_e_	désister
v1____p_e_	désâmer
v1____p_e_	dévergonder
v1____p_e_	dévoyer
v1____p_e_	efforcer
v1____p_e_	embéguiner
v1____p_e_	emparer
v1____p_e_	empiffrer
v1____p_e_	empresser
v1____p_e_	enamourer
v1____p_e_	encasteler
v1____p_e_	encroumer
v1____p_e_	engouer
v1____p_e_	enkyster
v1____p_e_	ensauver
v1____p_e_	enticher
v1____p_e_	entretailler
v1____p_e_	envoiler
v1____p_e_	envoler
v1____p_e_	esbigner
v1____p_e_	esclaffer
v1____p_e_	escrimer
v1____p_e_	estramasser
v1____p_e_	estranciner
v1____p_e_	exclamer
v1____p_e_	exonder
v1____p_e_	extasier
v1____p_e_	failler
v1____p_e_	fantaliser
v1____p_e_	fier
v1____p_e_	friter
v1____p_e_	gargariser
v1____p_e_	gausser
v1____p_e_	gendarmer
v1____p_e_	goberger
v1____p_e_	godiner
v1____p_e_	gominer
v1____p_e_	gorgeonner
v1____p_e_	gourancer
v1____p_e_	gourer
v1____p_e_	graffer
v1____p_e_	grumeler
v1____p_e_	immiscer
v1____p_e_	ingénier
v1____p_e_	insupporter
